clase1,clase2,clase3,clase4,clase5,clase6
Que meco que eres ,longo verga,negro careverga,Armando mamando,apio,ya esta bien me dijo
Este man es marisco,sapo mamaverga,indio pasposo,Peter el huesos,argolla,Te mando mensajes 
mamawebo,la concha de tu madre,negro mariconazo,El gordo tony,balín,azul
care verga,eres una sarna,mono de mierda,El calvo ese,bufanda,verde
care pinga,badulaque,negro puto,La familia cerda,bufarrón,cafe
ese man es un cara de la buena verga,pareces un bodoque,indigena mamaverga,angulo culo,bugarrón,"rojizo, verdoso, azulado"
Culi-roto,badulaque de a verga,monos hijueputas,alba-surero,boyardo,"Siempre puede usarse el nombre de algo, especialmente de la naturaleza, con un color característico para designarlo. Por ejemplo, se puede hablar de color calabaza para el característico de este fruto."
cabeza de pito,que eres bobo sango 'e verga,indio mamaverga,pepe pelada,brisco,"recordar que ni las pantallas ni el material impreso pueden representar toda la gama de colores ni, a menudo, matices"
eres un culo,sabido de mierda,negro ladron,Ese es un trozo de carne sin bautizar.,bujarra,"rojo, colorado"
que rica empanada,eres bobo,monos sucios,"Mal de rostro, peor cuerpo, informe por todas partes",bujarrón,"carmesí, rubí, frutilla"
cabeza de culo,Eres un mushpa,mona perra,Es más tonto que hecho de encargo,boyo,bermellón
te encanta la verga,Eres shunsho,mona sucia,tú naciste tonto y tienes recaídas,brecolera,escarlata
careverga de mierda,No me cae bien ese longo,color caca,"Hijo, estas en el mundo para rellenar",bitánico,"granate, burdeos"
como te puede gustar el menestron si la chepa que rica que es,"Ese mono, no ves como habla",longo sucio,no sabemos si es un mal parto o una buena cagada,brito,carmín
mmv,Que cholo eres,longo verga,Tragó líquido amniótico al nacer,broca,amaranto
mmverga,Ese man es cojudo,indigena sucio,Tienes la inteligencia por estrenar,bufo,verde
eres como la verga,mushpa,serrano hjp,Tu mama la gorda,cabrejo,chartreuse
mama verga,shunsho,gringos de mierda,Tu hermana la cualquiera,cabrito,azul
andate a la verga,longo,cholo verga,Engendro del demonio,cabro,zafiro
que gay que eres,mono,runa salido de cerro,campesino galán,checo,magenta
gay ,cholo,runa ,esclava de los billetes,chichifo,morado
